date,year,course,type,etape,equipe,selected,classification,statut,rang,pts_uci,rang_gc_final,pts_uci_gc_final,rang_kom_final,pts_uci_kom_final,rang_points_final,pts_uci_points_final,pts_uci_equipe_stage,pts_uci_equipe_total,pts_uci_gc,pts_uci_kom,pts_uci_points,stage_num,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,leader_played,n_races_30d,km_30d,max_pts,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km,pts_ratio,startlist_quality,avg_temperature,won_how,forme_equipe,stage_cluster,stage_cluster_label,is_team_leader
2020-02-14,2020,grand-prix-gazipasa,result,,Spor Toto Cycling Team,1,1.2,FIN,76.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,159.53,158.0,1.43,0.0,0.0,0.0,59.3,0.0,101.0,0.0,0.173,0.0,0.238,0.0,0.0,1862.0,1865.0,315.0,4.0,0.0,5.0,0.0,0.0,0.0,0.8618,0.8618,0.0,0.0,0.0,-0.4,-0.27,-0.32,122.0,0.07,408.0,1.0,3,382.4,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,-,5.0,2.0,⛰️  Moy. montagne,0
2020-02-16,2020,gp-antalya,result,,Spor Toto Cycling Team,1,1.2,FIN,67.0,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,120.04,112.0,3.69,0.0,0.524,0.0,47.0,3.76,68.7,0.0,0.0,0.774,4.47,0.0,0.0,522.0,523.0,336.0,2.0,0.0,0.0,1.0,0.0,0.0,0.213,0.213,0.213,0.0,0.0,0.0,-0.13,-0.04,14.0,0.59,377.0,1.0,4,541.93,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,,-,20.0,1.0,🟢  Plat/Sprint,0
2020-02-20,2020,tour-of-antalya,stage,1.0,Spor Toto Cycling Team,1,2.1,FIN,110.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,148.84,137.0,10.3,0.0,0.182,0.0,60.3,1.66,86.0,0.0,0.901,0.0,1.62,0.182,0.0,829.0,832.0,365.0,2.0,0.0,0.0,1.0,0.0,0.0,0.8054,0.8054,0.8054,0.0,0.0,-0.5,-0.03,-0.22,64.0,0.01,250.0,0.0,5,661.9699999999999,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,-,14.333333333333334,1.0,🟢  Plat/Sprint,0
2020-02-21,2020,tour-of-antalya,stage,2.0,Spor Toto Cycling Team,1,2.1,FIN,98.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,2.0,164.83,153.0,0.547,4.86,1.3,0.0,59.9,2.19,96.2,0.103,6.28,0.0,6.11,1.19,0.151,2404.0,2415.0,579.0,1.0,0.0,0.0,3.0,0.0,0.0,0.6,0.6,0.6,0.0,0.0,-0.5,0.83,0.6,58.0,-0.06,871.0,0.0,6,810.81,14.0,4.631,0.0,4.631,0.0,4.631,0.0,0.0,83.0,,-,2.5,2.0,⛰️  Moy. montagne,0
2020-02-22,2020,tour-of-antalya,stage,3.0,Spor Toto Cycling Team,1,2.1,FIN,79.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,3.0,101.48,100.0,1.24,0.0,0.0,0.0,11.5,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1048.0,177.0,887.0,7.0,0.0,0.0,0.0,0.0,1.0,0.9992,0.9992,0.9992,0.9992,0.9992,6.2,6.07,5.98,224.0,0.49,353.0,0.0,7,975.64,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,-,,3.0,🏔️  Haute montagne,0
2020-02-23,2020,tour-of-antalya,stage,4.0,Spor Toto Cycling Team,1,2.1,FIN,91.0,0.0,82.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,4.0,137.55,127.0,8.56,0.0,0.0,0.0,77.7,2.34,55.2,0.808,0.494,0.0,1.63,1.03,0.0,553.0,527.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.2,-0.08,98.0,-0.01,186.0,0.0,8,1077.12,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,,-,10.75,1.0,🟢  Plat/Sprint,0
2020-02-29,2020,grand-prix-velo-alanya,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,147.61,116.0,27.4,2.1,0.0,0.0,109.0,2.16,33.8,0.0,2.12,0.0,2.12,0.0,0.0,2395.0,2397.0,292.0,0.0,3.0,3.0,0.0,0.0,0.0,0.8451,0.784,0.0,0.0,0.0,0.1,0.1,-0.38,64.0,0.45,443.0,1.0,8,1091.68,40.0,0.139,0.0,0.139,0.0,0.139,0.0,0.0,27.0,,-,1.6666666666666667,2.0,⛰️  Moy. montagne,0
2020-03-01,2020,grand-prix-manavgat-side,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,167.69,165.0,0.614,1.97,0.0,0.0,54.2,0.573,113.0,0.0,0.295,0.0,0.295,0.0,0.0,1752.0,1735.0,518.0,5.0,0.0,1.0,1.0,0.0,0.0,0.6706,0.6706,0.6187,0.0,0.0,0.1,-0.03,-0.02,102.0,0.04,258.0,1.0,8,1091.68,40.0,2.025,0.0,2.025,0.0,1.568,0.0,0.0,27.0,,-,8.6,1.0,🟢  Plat/Sprint,0
2020-08-13,2020,nc-russia-itt,result,,Spor Toto Cycling Team,0,NC,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0,0.0,,,,,,,,,14.0,,Time trial,,,,0
2020-08-16,2020,nc-russia,result,,Spor Toto Cycling Team,0,NC,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,0,0.0,,,,,,,,,16.0,,-,,,,0
2020-09-03,2020,grand-prix-develi,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,121.41,122.0,0.0,0.0,0.0,0.0,91.9,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,2124.0,1184.0,2218.0,1175.0,2.0,1.0,0.0,0.0,1.0,0.9847,0.9847,0.9847,0.9847,0.9847,-2.6,-0.73,1.18,59.0,0.23,609.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,? km solo,0.0,3.0,🏔️  Haute montagne,0
2020-09-04,2020,grand-prix-cappadocia,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,179.8,180.0,0.0,0.0,0.0,0.0,148.0,0.295,31.4,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,2018.0,1589.0,1072.0,0.0,1.0,2.0,0.0,0.0,0.9531,0.9531,0.7148,0.0,0.0,-0.7,-1.47,-1.82,255.0,-0.25,199.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,-,1.25,2.0,⛰️  Moy. montagne,0
2020-09-05,2020,grand-prix-mount-erciyes-2200-mt,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,158.32,150.0,4.26,0.0,0.0,0.0,98.3,2.25,53.8,0.0,3.78,0.0,3.78,0.0,0.0,2301.0,2392.0,1500.0,1059.0,0.0,2.0,2.0,0.0,0.0,0.8381,0.8381,0.8381,0.0,0.0,-0.3,-0.23,-0.16,70.0,0.06,466.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,-,1.6,2.0,⛰️  Moy. montagne,0
2020-09-06,2020,grand-prix-world-s-best-high-altitude,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,136.02,133.0,2.1,0.0,0.137,0.0,18.7,3.39,114.0,0.0,0.0,0.0,0.77,0.137,0.0,2486.0,1511.0,2032.0,1024.0,6.0,0.0,0.0,0.0,1.0,0.9995,0.9995,0.9995,0.9995,0.9995,14.1,12.0,10.6,530.0,-0.03,452.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,-,1.5,3.0,🏔️  Haute montagne,0
2020-09-14,2020,grand-prix-velo-erciyes-me,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,10.0,10.0,0.0,0.0,0.0,,179.8,180.0,0.0,0.0,0.0,0.0,148.0,0.295,31.4,0.0,0.0,0.0,0.0,0.0,0.0,2024.0,2018.0,1589.0,1072.0,0.0,1.0,2.0,0.0,0.0,0.9531,0.9531,0.7148,0.0,0.0,-0.7,-1.47,-1.82,255.0,-0.25,199.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,,-,0.6,2.0,⛰️  Moy. montagne,0
2020-09-15,2020,grand-prix-central-anatolia,result,,Spor Toto Cycling Team,0,1.2,,,0.0,,,,,,,15.0,15.0,0.0,0.0,0.0,,131.37,131.0,0.0,0.0,0.0,0.0,108.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,1592.0,1534.0,1502.0,1174.0,2.0,2.0,1.0,0.0,0.0,0.9838,0.9003,0.4938,0.0,0.0,-0.6,-0.27,1.38,329.0,0.32,659.0,1.0,0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,-,2.6,2.0,⛰️  Moy. montagne,0
2020-09-22,2020,nc-turkey-itt,result,,Spor Toto Cycling Team,0,NC,,,0.0,,,,,,,3.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0,0.0,,,,,,,,,2.0,,Time trial,,,,0
2020-09-23,2020,nc-turkey,result,,Spor Toto Cycling Team,0,NC,,,0.0,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,0,0.0,,,,,,,,,6.0,,-,,,,0
2020-09-26,2020,tour-of-mevlana,stage,1.0,Spor Toto Cycling Team,0,2.2,,,0.0,,,,,,,0.0,3.0,3.0,0.0,0.0,1.0,137.9,135.0,0.213,0.0,0.0,0.0,39.1,0.213,95.4,0.659,2.75,0.0,2.75,0.0,0.0,543.0,532.0,1283.0,968.0,0.0,1.0,0.0,0.0,0.0,0.6993,0.6993,0.0,0.0,0.0,-0.2,-0.57,-0.88,32.0,-0.07,95.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,-,3.6,1.0,🟢  Plat/Sprint,0
2020-09-27,2020,tour-of-mevlana,stage,2.0,Spor Toto Cycling Team,0,2.2,,,0.0,,,,,,,0.0,3.0,3.0,0.0,0.0,2.0,132.55,128.0,4.79,0.0,0.0,0.0,43.2,2.08,84.3,3.19,0.0,0.0,0.0,0.0,0.0,112.0,97.0,1026.0,997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.12,34.0,-0.02,31.0,1.0,0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,,-,0.6,1.0,🟢  Plat/Sprint,0
